# time [s], momentum transfer frequency [Hz] at 3000 K, momentum transfer frequency [Hz] at 2000 K
1.360000000000000002e-07,3.684504735112348633e+11,7.324847140874768066e+11
1.363999999999999773e-07,3.662422410633784180e+11,7.338534508607001953e+11
1.368000000000000074e-07,3.627858056360475464e+11,7.359958658398170166e+11
1.371999999999999845e-07,3.586243192546198120e+11,7.400203902797581787e+11
1.376000000000000145e-07,3.546367656435780640e+11,7.479118212528497314e+11
1.379999999999999916e-07,3.464800527119481812e+11,7.640540837390628662e+11
1.383999999999999687e-07,3.386635042978613281e+11,7.862040225133870850e+11
1.387999999999999988e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.391999999999999759e-07,3.384442789530196533e+11,7.874558372683758545e+11
1.396000000000000060e-07,3.441236862472528687e+11,7.687173698330632324e+11
1.399999999999999831e-07,3.563587815513610229e+11,7.445039248340517578e+11
1.404000000000000131e-07,3.613454869825115967e+11,7.368886238047531738e+11
1.407999999999999902e-07,3.647061390237745972e+11,7.348055785912161865e+11
1.412000000000000203e-07,3.673943862058220215e+11,7.331393125343280029e+11
1.415999999999999974e-07,3.802598239958003540e+11,7.251648812991315918e+11
1.419999999999999745e-07,3.942889969793597412e+11,7.244378291207805176e+11
1.424000000000000046e-07,4.078597811895115967e+11,7.359549762898452148e+11
1.427999999999999817e-07,4.166668320659854126e+11,7.533776037079741211e+11
1.432000000000000117e-07,4.259368657230045166e+11,7.722044764547583008e+11
1.435999999999999888e-07,4.359049908101717529e+11,7.909909379356566162e+11
1.440000000000000189e-07,4.454847650638352051e+11,8.081298173998629150e+11
1.443999999999999960e-07,4.544879013922086182e+11,8.237465275358083496e+11
1.447999999999999731e-07,4.614142029770239868e+11,8.354454366524404297e+11
1.452000000000000032e-07,4.663355376438553467e+11,8.436682485401467285e+11
1.455999999999999803e-07,4.687601066636364136e+11,8.477193396176929932e+11
1.460000000000000103e-07,4.693232403563369751e+11,8.486602515320798340e+11
1.463999999999999874e-07,4.685006113576227417e+11,8.472857618930415039e+11
1.468000000000000175e-07,4.655562266215027466e+11,8.423661367406767578e+11
1.471999999999999946e-07,4.608514818364792480e+11,8.345052140508115234e+11
1.475999999999999717e-07,4.544135830498753662e+11,8.236176160134598389e+11
1.480000000000000018e-07,4.460640234577928467e+11,8.091345906369114990e+11
1.483999999999999789e-07,4.363485388429639893e+11,7.917872904017099609e+11
1.488000000000000089e-07,4.258596677989042969e+11,7.720567266582470703e+11
1.491999999999999860e-07,4.154423846588857422e+11,7.508428898526319580e+11
1.496000000000000161e-07,3.968761582105728149e+11,7.262276403618674316e+11
1.499999999999999932e-07,3.436705527999378052e+11,7.696141280136137695e+11
1.503999999999999703e-07,3.562681082299041138e+11,7.446833687556071777e+11
1.508000000000000004e-07,3.988988527899158325e+11,7.276269507147426758e+11
1.511999999999999775e-07,4.132719995994794312e+11,7.465682259005653076e+11
1.516000000000000075e-07,4.204460430107243652e+11,7.612009028454849854e+11
1.519999999999999847e-07,4.255662803766665039e+11,7.714952098501224365e+11
1.524000000000000147e-07,4.285927126589860840e+11,7.772875256290728760e+11
