# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.7 of the paper, electron density, provided by the authors.
# Time [ns];ne (4.75mm) [cm^-3];ne (4.25mm) [cm^-3];ne (2.25mm) [cm^-3];ne (0.75mm) [cm^-3];ne (0.25mm) [cm^-3];uncertainty on ne (4.75mm) [cm^-3];uncertainty on ne (4.25mm) [cm^-3];uncertainty on ne (2.25mm) [cm^-3];uncertainty on ne (0.75mm) [cm^-3];uncertainty on ne (0.25mm) [cm^-3];
94	--	5.97337249461662E15	1.19003413233307E15	9.71647472053533E15	--	--	1.19467449892332E15	238006826466615	1.94329494410707E15	--
95		6.85429454962962E15	1.33039632062176E15	1.23617691333899E16	--	--	1.37085890992592E15	266079264124352	2.47235382667798E15	--
96	--	7.8238798431726E15				--	1.56477596863452E15	--	--	--
97	--	8.96504114160122E15				--	1.79300822832024E15	--	--	--
98						--	--	--	--	--
99						--	--	--	--	--
100						--	--	--	--	--
101						--	--	--	--	--
102						--	--	--	--	--
103						--	--	--	--	--
104						--	--	--	--	--
105						--	--	--	--	--
106	--	6.27833477647932E15				--	1.25566695529586E15	--	--	--
107	--	6.17942784920318E15				--	1.23588556984064E15	--	--	--
108	--	6.56643254659146E15				--	1.31328650931829E15	--	--	--
109	--	5.72238799635567E15				--	1.14447759927113E15	--	--	--
110						--	--	--	--	--
111						--	--	--	--	--
112						--	--	--	--	--
113						--	--	--	--	--
114						--	--	--	--	--
115						--	--	--	--	--
116						--	--	--	--	--
117						--	--	--	--	--
118						--	--	--	--	--
119						--	--	--	--	--
120						--	--	--	--	--
121						--	--	--	--	--
122						--	--	--	--	--
123	--	--	--	--	1.03793410259338E17	--	--	--	--	2.07586820518676E16
124	--	--	--	--	1.04917180957426E17	--	--	--	--	2.09834361914853E16
125	--	--	--	--	8.13791421188743E16	--	--	--	--	1.62758284237749E16
126	--	--	--	--	9.28211613716208E16	--	--	--	--	1.85642322743242E16
127						--	--	--	--	--
128						--	--	--	--	--
129						--	--	--	--	--
130						--	--	--	--	--
131						--	--	--	--	--
132						--	--	--	--	--
133						--	--	--	--	--
134						--	--	--	--	--
135	--	--	--	--	--	--	--	--	--	--
136						--	--	--	--	--
137						--	--	--	--	--
138						--	--	--	--	--
139	--	3.11764189209828E15				--	623528378419655	--	--	--
140	--	2.74433216797832E15	--	--	--	--	548866433595664	--	--	--
141	--	2.7176205806972E15	--	5.26259436485516E15	--	--	543524116139439	--	1.05251887297103E15	--
142	--	2.87277086786179E15	--	5.442776661848E15	--	--	574554173572359	--	1.0885553323696E15	--
143	--	2.88902623745129E15	--	6.01882833798143E15	--	--	577805247490258	--	1.20376566759629E15	--
144	--	3.115459381233E15	--	7.9165989018622E15	--	--	623091876246600	--	1.58331978037244E15	--
145	--	3.66164224840793E15				--	732328449681587
146
147
