# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.3 of the paper, anode configuration, provided by the authors.
# Time [s];Voltage [kV];Current [A];Energy [J]
3.8E-7;0.0608706;0.239884;0.0016461
3.804E-7;0.0521248;0.282363;0.00164617
3.808E-7;0.0489763;0.257375;0.00164617
3.812E-7;0.0426794;0.147429;0.00164617
3.816E-7;0.0363824;0.107448;0.00164617
3.82E-7;0.0300855;0.129937;0.00164617
3.824E-7;0.0171417;0.154925;0.00164617
3.828E-7;0.00734645;0.209898;0.00164617
3.832E-7;0.00244882;0.404804;0.00164617
3.836E-7;-0.0111946;0.699661;0.00164617
3.84E-7;-0.0297356;0.86708;0.00164617
3.844E-7;-0.0419797;0.777124;0.00164617
3.848E-7;-0.0619201;0.477269;0.0016461
3.852E-7;-0.0738143;0.104949;0.0016461
3.856E-7;-0.078712;-0.282363;0.0016461
3.86E-7;-0.0741642;-0.659681;0.0016461
3.864E-7;-0.0570225;-0.927051;0.0016461
3.868E-7;-0.0468774;-0.987022;0.00164617
3.872E-7;-0.0293858;-0.899564;0.00164617
3.876E-7;-0.024838;-0.824601;0.00164617
3.88E-7;-0.0132936;-0.759632;0.00164617
3.884E-7;0.0237885;-0.6197;0.00164617
3.888E-7;0.0507255;-0.362325;0.00164617
3.892E-7;0.078712;-0.0824601;0.00164617
3.896E-7;0.120342;0.134935;0.00164617
3.9E-7;0.161272;0.267371;0.00164617
3.904E-7;0.200103;0.269869;0.00164623
3.908E-7;0.231588;0.0999516;0.00164623
3.912E-7;0.271819;-0.209898;0.00164623
3.916E-7;0.294208;-0.617201;0.00164617
3.92E-7;0.287211;-0.984523;0.0016461
3.924E-7;0.313798;-1.17193;0.00164598
3.928E-7;0.323594;-1.20941;0.00164586
3.932E-7;0.317996;-1.21441;0.00164568
3.936E-7;0.28966;-1.28188;0.0016455
3.94E-7;0.179113;-1.49178;0.00164537
3.944E-7;0.00139932;-1.67669;0.00164531
3.948E-7;-0.24803;-1.88659;0.00164543
3.952E-7;-0.545037;-2.17894;0.00164574
3.956E-7;-0.842043;-2.69619;0.00164641
3.96E-7;-1.16004;-3.73569;0.00164757
3.964E-7;-1.52596;-5.54482;0.00164976
3.968E-7;-1.88279;-7.66879;0.0016539
3.972E-7;-2.23297;-9.01064;0.0016606
3.976E-7;-2.59575;-9.53039;0.0016695
3.98E-7;-2.99175;-10.24;0.00168034
3.984E-7;-3.37272;-11.9417;0.00169392
3.988E-7;-3.65713;-13.9333;0.00171147
3.992E-7;-3.84464;-15.2076;0.00173316
3.996E-7;-3.87508;-15.5625;0.00175722
4E-7;-3.72255;-15.3601;0.00178122
4.004E-7;-3.40595;-14.5929;0.00180333
4.008E-7;-2.92494;-12.8913;0.00182179
4.012E-7;-2.34597;-10.6324;0.00183519
4.016E-7;-1.70997;-8.57585;0.0018436
4.02E-7;-1.08308;-7.0241;0.00184829
4.024E-7;-0.529294;-5.49234;0.00185048
4.028E-7;-0.0626197;-3.7232;0.00185109
4.032E-7;0.313798;-2.13896;0.00185091
4.036E-7;0.573373;-1.17443;0.00185054
4.04E-7;0.714005;-0.684668;0.00185024
4.044E-7;0.782572;-0.264872;0.00185006
4.048E-7;0.827;0.012494;0.00184999
4.052E-7;0.853937;-0.059971;0.00184999
4.056E-7;0.84939;-0.194906;0.00184999
4.06E-7;0.846941;0.122441;0.00184993
4.064E-7;0.842743;0.914557;0.00184999
4.068E-7;0.809159;1.6592;0.00185036
4.072E-7;0.709107;2.13397;0.00185091
4.076E-7;0.526496;2.58375;0.00185146
4.08E-7;0.336887;3.05352;0.00185188
4.084E-7;0.175615;3.101;0.00185225
4.088E-7;0.0643689;2.55626;0.00185237
4.092E-7;0.0157424;1.90158;0.00185243
4.096E-7;0.0549235;1.80663;0.00185243
4.1E-7;0.202552;2.33387;0.00185255
4.104E-7;0.410352;3.17096;0.00185286
4.108E-7;0.639841;4.123;0.00185359
4.112E-7;0.872479;5.10003;0.00185493
4.116E-7;1.11001;5.91464;0.00185712
4.12E-7;1.3521;6.4019;0.00186011
4.124E-7;1.55675;6.71175;0.00186401
4.128E-7;1.70578;7.13654;0.00186845
4.132E-7;1.82472;7.66379;0.00187369
4.136E-7;1.90938;7.96614;0.00187954
4.14E-7;1.93282;7.87119;0.00188581
4.144E-7;1.91183;7.56634;0.00189191
4.148E-7;1.86845;7.26398;0.00189763
4.152E-7;1.81387;6.98162;0.00190299
4.156E-7;1.75195;6.64928;0.00190799
4.16E-7;1.68304;6.37941;0.00191262
4.164E-7;1.62392;6.34443;0.00191682
4.168E-7;1.5592;6.44438;0.00192096
4.172E-7;1.47139;6.3919;0.00192492
4.176E-7;1.38078;6.07956;0.00192858
4.18E-7;1.30767;5.70724;0.00193181
4.184E-7;1.2335;5.41988;0.00193473
4.188E-7;1.13905;5.1675;0.00193735
4.192E-7;1.02675;4.9476;0.0019396
4.196E-7;0.917957;4.85765;0.00194149
4.2E-7;0.825601;4.89263;0.0019432
4.204E-7;0.712956;4.82017;0.00194472
4.208E-7;0.578271;4.38788;0.001946
4.212E-7;0.454081;3.56577;0.00194691
4.216E-7;0.370121;2.55876;0.00194746
4.22E-7;0.338636;1.52426;0.00194777
4.224E-7;0.316947;0.57722;0.00194795
4.228E-7;0.312749;-0.114944;0.00194801
4.232E-7;0.315548;-0.434789;0.00194801
4.236E-7;0.307501;-0.462276;0.00194795
4.24E-7;0.31065;-0.379816;0.00194789
4.244E-7;0.317297;-0.314848;0.00194783
4.248E-7;0.31065;-0.222392;0.00194783
4.252E-7;0.295607;0;0.00194777
4.256E-7;0.263073;0.347332;0.00194777
4.26E-7;0.237885;0.832097;0.00194783
4.264E-7;0.195206;1.33935;0.00194789
4.268E-7;0.0944544;1.70667;0.00194801
4.272E-7;-0.00139932;1.76914;0.00194807
4.276E-7;-0.0948042;1.41182;0.00194801
4.28E-7;-0.169668;0.744639;0.00194795
4.284E-7;-0.246631;0.0324843;0.00194789
4.288E-7;-0.340735;-0.49476;0.00194789
4.292E-7;-0.39321;-0.644688;0.00194801
4.296E-7;-0.405454;-0.489763;0.00194813
4.3E-7;-0.415949;-0.222392;0.00194819
4.304E-7;-0.401256;0.012494;0.00194819
4.308E-7;-0.335838;0.222392;0.00194819
4.312E-7;-0.211998;0.554731;0.00194819
4.316E-7;-0.0566726;1.042;0.00194819
4.32E-7;0.0829099;1.63921;0.00194819
4.324E-7;0.245232;2.2739;0.00194831
4.328E-7;0.402655;2.84112;0.00194862
4.332E-7;0.520549;3.24593;0.00194923
4.336E-7;0.596812;3.43584;0.00194996
4.34E-7;0.627947;3.44583;0.00195081
4.344E-7;0.648587;3.40585;0.00195173
4.348E-7;0.64194;3.27092;0.00195264
4.352E-7;0.587716;2.80614;0.00195343
4.356E-7;0.529994;2.02402;0.00195404
4.36E-7;0.45583;1.13195;0.00195441
4.364E-7;0.350181;0.299855;0.00195459
4.368E-7;0.22809;-0.439787;0.00195459
4.372E-7;0.115094;-1.09947;0.00195453
4.376E-7;0.0430292;-1.57924;0.00195453
4.38E-7;-0.0132936;-1.75415;0.00195453
4.384E-7;-0.0619201;-1.63171;0.00195453
4.388E-7;-0.0853588;-1.30187;0.00195459
4.392E-7;-0.0762632;-0.754635;0.00195465
4.396E-7;-0.0535241;-0.0199903;0.00195465
4.4E-7;-0.0374319;0.734644;0.00195465
4.404E-7;-0.0230888;1.2494;0.00195465
4.408E-7;0.00594713;1.46429;0.00195465
4.412E-7;0.0447784;1.53925;0.00195465
4.416E-7;0.0797615;1.61922;0.00195471
4.42E-7;0.107748;1.69918;0.00195477
4.424E-7;0.131536;1.71417;0.00195483
4.428E-7;0.156724;1.67169;0.00195495
4.432E-7;0.178764;1.62421;0.00195508
4.436E-7;0.198704;1.53925;0.0019552
4.44E-7;0.221093;1.36184;0.00195532
4.444E-7;0.237535;1.11696;0.00195544
4.448E-7;0.243133;0.859584;0.00195556
4.452E-7;0.22844;0.55723;0.00195562
4.456E-7;0.212347;0.169918;0.00195569
4.46E-7;0.196605;-0.237385;0.00195569
4.464E-7;0.178064;-0.554731;0.00195562
4.468E-7;0.159523;-0.734644;0.00195562
4.472E-7;0.148678;-0.797114;0.00195556
4.476E-7;0.147629;-0.807109;0.0019555
4.48E-7;0.147279;-0.717153;0.00195544
4.484E-7;0.141332;-0.53724;0.00195544
4.488E-7;0.129088;-0.334838;0.00195538
4.492E-7;0.112646;-0.179913;0.00195538
4.496E-7;0.080811;-0.0624697;0.00195538
4.5E-7;0.0356828;0.0799613;0.00195538
4.504E-7;-0.0150427;0.229889;0.00195538
4.508E-7;-0.0664679;0.352329;0.00195538
4.512E-7;-0.118593;0.407303;0.00195538
4.516E-7;-0.166869;0.399806;0.00195538
4.52E-7;-0.20675;0.37232;0.00195532
4.524E-7;-0.240684;0.342334;0.00195526
4.528E-7;-0.26972;0.334838;0.00195526
4.532E-7;-0.295257;0.342334;0.0019552
4.536E-7;-0.3096;0.364823;0.0019552
4.54E-7;-0.318346;0.344833;0.00195514
4.544E-7;-0.318696;0.297356;0.00195508
4.548E-7;-0.306452;0.267371;0.00195502
4.552E-7;-0.300505;0.314848;0.00195502
4.556E-7;-0.283363;0.434789;0.00195495
4.56E-7;-0.260624;0.602208;0.00195489
4.564E-7;-0.234737;0.769627;0.00195483
4.568E-7;-0.216545;0.90956;0.00195477
4.572E-7;-0.208149;0.977027;0.00195471
4.576E-7;-0.198004;0.94954;0.00195465
4.58E-7;-0.185061;0.807109;0.00195453
4.584E-7;-0.179463;0.499758;0.00195447
4.588E-7;-0.178064;0.0674673;0.00195447
4.592E-7;-0.170018;-0.374819;0.00195447
4.596E-7;-0.157424;-0.732145;0.00195447
4.6E-7;-0.142031;-0.927051;0.00195453
4.604E-7;-0.126639;-0.972029;0.00195459
4.608E-7;-0.095154;-0.874576;0.00195465
4.612E-7;-0.0461777;-0.667177;0.00195465
4.616E-7;0.00174916;-0.449782;0.00195465
4.62E-7;0.0430292;-0.259874;0.00195465
4.624E-7;0.0860584;-0.0499758;0.00195465
4.628E-7;0.133286;0.229889;0.00195465
4.632E-7;0.152176;0.532242;0.00195465
4.636E-7;0.164421;0.739642;0.00195471
4.64E-7;0.174216;0.86708;0.00195477
4.644E-7;0.221093;1.00701;0.00195483
4.648E-7;0.295257;1.2344;0.00195495
4.652E-7;0.41385;1.48928;0.00195514
4.656E-7;0.57932;1.82911;0.0019555
4.66E-7;0.792717;2.2614;0.00195605
4.664E-7;1.01906;2.79115;0.0019569
4.668E-7;1.23875;3.33838;0.00195824
4.672E-7;1.45075;3.89311;0.00196013
4.676E-7;1.61727;4.38538;0.00196263
4.68E-7;1.73656;4.64025;0.00196568
4.684E-7;1.79533;4.55779;0.00196903
4.688E-7;1.80898;4.17798;0.00197232
4.692E-7;1.78904;3.74069;0.0019753
4.696E-7;1.71767;3.27092;0.00197792
4.7E-7;1.60363;2.71369;0.00198005
4.704E-7;1.449;2.074;0.00198164
4.708E-7;1.25239;1.48928;0.00198273
4.712E-7;1.0292;1.07948;0.0019834
4.716E-7;0.790968;0.734644;0.00198377
4.72E-7;0.550984;0.347332;0.00198395
4.724E-7;0.314498;-0.132436;0.00198401
4.728E-7;0.0843093;-0.597211;0.00198401
4.732E-7;-0.132936;-0.989521;0.00198401
4.736E-7;-0.329541;-1.27688;0.00198413
4.74E-7;-0.511103;-1.43181;0.00198438
4.744E-7;-0.666778;-1.50677;0.00198474
4.748E-7;-0.784321;-1.63921;0.00198517
4.752E-7;-0.852888;-1.89908;0.00198578
4.756E-7;-0.864083;-2.17645;0.00198645
4.76E-7;-0.835047;-2.23892;0.00198724
4.764E-7;-0.773826;-2.07899;0.00198797
4.768E-7;-0.695114;-1.81412;0.00198858
4.772E-7;-0.611155;-1.57924;0.00198907
4.776E-7;-0.543987;-1.41931;0.00198943
4.78E-7;-0.491163;-1.31436;0.00198968
4.784E-7;-0.45478;-1.28438;0.00198998
4.788E-7;-0.439738;-1.29937;0.00199016
4.792E-7;-0.442886;-1.2369;0.00199041
4.796E-7;-0.461777;-1.07948;0.00199065
4.8E-7;-0.486615;-0.92955;0.0019909
4.804E-7;-0.521248;-0.90956;0.00199108
4.808E-7;-0.574423;-1.0245;0.00199126
4.812E-7;-0.638791;-1.20442;0.0019915
4.816E-7;-0.705259;-1.42181;0.00199187
4.82E-7;-0.772427;-1.73166;0.0019923
4.824E-7;-0.844842;-2.0715;0.00199291
4.828E-7;-0.913059;-2.33637;0.0019937
4.832E-7;-0.969732;-2.45631;0.00199461
4.836E-7;-1.00926;-2.45381;0.00199559
4.84E-7;-1.0418;-2.38135;0.00199662
4.844E-7;-1.05964;-2.22392;0.0019976
4.848E-7;-1.05404;-1.98404;0.00199857
4.852E-7;-1.0306;-1.74665;0.00199936
4.856E-7;-0.995969;-1.57424;0.00200009
4.86E-7;-0.947342;-1.4443;0.0020007
4.864E-7;-0.882274;-1.30937;0.00200119
4.868E-7;-0.809159;-1.21441;0.00200168
4.872E-7;-0.735345;-1.18693;0.00200204
4.876E-7;-0.650686;-1.21941;0.00200235
4.88E-7;-0.55798;-1.2469;0.00200265
