# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.16 of the paper, remote configuration, provided by the authors.
# Time [ns];Voltage [kV];Error on voltage [kV];Current [A];Error on current [A]
83.4;0.0169918;0.001189426;7.82123;0.0782123
83.8;0.0299856;0.002098992;8.03863;0.0803863
84.2;0.060471;0.00423297;8.43843;0.0843843
84.6;0.0980779;0.006865453;8.52839;0.0852839
85;0.126939;0.00888573;8.07611;0.0807611
85.4;0.134061;0.00938427;7.38894;0.0738894
85.8;0.116694;0.00816858;6.70677;0.0670677
86.2;0.0827103;0.005789721;6.05459;0.0605459
86.6;0.0589717;0.004128019;5.53234;0.0553234
87;0.0758386;0.005308702;5.58981;0.0558981
87.4;0.153801;0.01076607;6.28198;0.0628198
87.8;0.287112;0.02009784;7.45891;0.0745891
88.2;0.446785;0.03127495;8.90321;0.0890321
88.6;0.597588;0.04183116;10.6948;0.106948
89;0.716031;0.05012217;12.4815;0.124815
89.4;0.798866;0.05592062;13.9808;0.139808
89.8;0.865209;0.06056463;15.3176;0.153176
90.2;0.932052;0.06524364;16.8219;0.168219
90.6;1.01026;0.0707182;18.2062;0.182062
91;1.09697;0.0767879;19.2457;0.192457
91.4;1.17768;0.0824376;20.0853;0.200853
91.8;1.23253;0.0862771;20.7525;0.207525
92.2;1.24803;0.0873621;21.1898;0.211898
92.6;1.22591;0.0858137;21.1698;0.211698
93;1.17993;0.0825951;20.71;0.2071
93.4;1.12721;0.0789047;19.8504;0.198504
93.8;1.07686;0.0753802;18.8134;0.188134
94.2;1.03375;0.0723625;17.6865;0.176865
94.6;0.995397;0.06967779;16.5845;0.165845
95;0.954417;0.06680919;15.3926;0.153926
95.4;0.906315;0.06344205;14.0982;0.140982
95.8;0.844844;0.05913908;12.6464;0.126464
96.2;0.772129;0.05404903;11.1221;0.111221
96.6000000000001;0.693167;0.04852169;9.7428;0.097428
97;0.617453;0.04322171;8.55588;0.0855588
97.4;0.551985;0.03863895;7.54887;0.0754887
97.8;0.499385;0.03495695;6.61182;0.0661182
98.2;0.452283;0.03165981;5.85968;0.0585968
98.5999999999999;0.407055;0.02849385;5.32994;0.0532994
99;0.363076;0.02541532;5.03009;0.0503009
99.3999999999999;0.320346;0.02242422;4.75272;0.0475272
99.8;0.28024;0.0196168;4.49534;0.0449534
100.2;0.247881;0.01735167;4.34292;0.0434292
100.6;0.232139;0.01624973;4.35791;0.0435791
101;0.234887;0.01644209;4.57531;0.0457531
101.4;0.24913;0.0174391;4.82768;0.0482768
101.8;0.266247;0.01863729;5.04008;0.0504008
102.2;0.273369;0.01913583;4.9901;0.049901
102.6;0.266122;0.01862854;4.87766;0.0487766
103;0.248631;0.01740417;4.77021;0.0477021
103.4;0.230389;0.01612723;4.72024;0.0472024
103.8;0.21877;0.0153139;4.62528;0.0462528
104.2;0.205776;0.01440432;4.47036;0.0447036
104.6;0.179039;0.01253273;4.26046;0.0426046
105;0.123816;0.00866712;3.93562;0.0393562
105.4;0.037482;0.00262374;3.73321;0.0373321
105.8;-0.0653436;-0.004574052;3.40587;0.0340587
106.2;-0.194282;-0.01359974;3.45085;0.0345085
106.6;-0.322595;-0.02258165;3.9606;0.039606
107;-0.440164;-0.03081148;4.93263;0.0493263
107.4;-0.566978;-0.03968846;6.33195;0.0633195
107.8;-0.690169;-0.04831183;7.84122;0.0784122
108.2;-0.788996;-0.05522972;9.82526;0.0982526
108.6;-0.886449;-0.06205143;11.8893;0.118893
109;-0.975906;-0.06831342;14.0457;0.140457
109.4;-1.01789;-0.0712523;15.7849;0.157849
109.8;-1.05787;-0.0740509;16.9043;0.169043
110.2;-1.05524;-0.0738668;17.2642;0.172642
110.6;-0.97853;-0.0684971;16.9318;0.169318
111;-0.900568;-0.06303976;16.1547;0.161547
111.4;-0.800491;-0.05603437;14.7279;0.147279
111.8;-0.690293;-0.04832051;13.0037;0.130037
112.2;-0.588342;-0.04118394;10.7873;0.107873
112.6;-0.462528;-0.03237696;8.45093;0.0845093
113;-0.329217;-0.02304519;5.8197;0.058197
113.4;-0.219894;-0.01539258;3.03355;0.0303355
113.8;-0.149803;-0.01048621;0.334859;0.00334859
114.2;-0.118068;-0.00826476;-2.20641;-0.0220641
114.6;-0.0784623;-0.005492361;-4.23793;-0.0423793
115;-0.00662182;-4.635274E-4;-5.80717;-0.0580717
115.4;0.0759635;0.005317445;-6.9741;-0.069741
115.8;0.1568;0.010976;-7.71125;-0.0771125
116.2;0.220769;0.01545383;-7.97362;-0.0797362
116.6;0.27037;0.0189259;-7.83868;-0.0783868
117;0.327593;0.02293151;-7.44387;-0.0744387
117.4;0.380942;0.02666594;-6.9841;-0.069841
117.8;0.417175;0.02920225;-6.54181;-0.0654181
118.2;0.425421;0.02977947;-6.19698;-0.0619698
118.6;0.401682;0.02811774;-5.91961;-0.0591961
119;0.368573;0.02580011;-5.56728;-0.0556728
119.4;0.350707;0.02454949;-5.24744;-0.0524744
119.8;0.351206;0.02458442;-4.98507;-0.0498507
120.2;0.362451;0.02537157;-4.72519;-0.0472519
120.6;0.368323;0.02578261;-4.31539;-0.0431539
121;0.366449;0.02565143;-3.8731;-0.038731
121.4;0.36495;0.0255465;-3.63572;-0.0363572
121.8;0.371447;0.02600129;-3.69819;-0.0369819
122.2;0.389313;0.02725191;-3.86811;-0.0386811
122.6;0.414551;0.02901857;-4.0855;-0.040855
123;0.436166;0.03053162;-4.55527;-0.0455527
123.4;0.452408;0.03166856;-5.34989;-0.0534989
123.8;0.466026;0.03262182;-6.21197;-0.0621197
124.2;0.482268;0.03375876;-6.81918;-0.0681918
124.6;0.507131;0.03549917;-7.10904;-0.0710904
125;0.538242;0.03767694;-7.1915;-0.071915
125.4;0.569227;0.03984589;-7.03907;-0.0703907
125.8;0.598213;0.04187491;-6.69924;-0.0669924
126.2;0.618828;0.04331796;-6.24695;-0.0624695
126.6;0.6237;0.043659;-5.78968;-0.0578968
127;0.607833;0.04254831;-5.16998;-0.0516998
127.4;0.573974;0.04017818;-4.39035;-0.0439035
127.8;0.528371;0.03698597;-3.51078;-0.0351078
128.2;0.480769;0.03365383;-2.45629;-0.0245629
128.6;0.434291;0.03040037;-1.31184;-0.0131184
129;0.390812;0.02735684;-0.14241;-0.0014241
129.4;0.347208;0.02430456;0.747159;0.00747159
129.8;0.297232;0.02080624;1.32438;0.0132438
130.2;0.237761;0.01664327;1.73918;0.0173918
130.6;0.170293;0.01192051;1.91409;0.0191409
131;0.10395;0.0072765;1.9091;0.019091
131.4;0.0492264;0.003445848;1.67671;0.0167671
131.8;0.00912062;6.384434E-4;1.4818;0.014818
132.2;-0.0134935;-9.44545E-4;1.24942;0.0124942
132.6;-0.0244882;-0.001714174;1.01453;0.0101453
133;-0.0308602;-0.002160214;0.70468;0.0070468
133.4;-0.0366074;-0.002562518;0.287382;0.00287382
133.8;-0.0393561;-0.002754927;-0.187388;-0.00187388
134.2;-0.0363575;-0.002545025;-0.722129;-0.00722129
134.6;-0.0224892;-0.001574244;-1.1969;-0.011969
135;-0.00224892;-1.574244E-4;-1.62419;-0.0162419
135.4;0.0212398;0.001486786;-1.93904;-0.0193904
135.8;0.0424796;0.002973572;-2.2339;-0.022339
136.2;0.0527247;0.003690729;-2.50876;-0.0250876
136.6;0.0459779;0.003218453;-2.71117;-0.0271117
137;0.0262374;0.001836618;-2.66869;-0.0266869
137.4;0.00462278;3.235946E-4;-2.29887;-0.0229887
137.8;-0.0196156;-0.001373092;-1.76662;-0.0176662
138.2;-0.0447285;-0.003130995;-1.12194;-0.0112194
138.6;-0.0673427;-0.004713989;-0.624677;-0.00624677
139;-0.0950793;-0.006655551;-0.209878;-0.00209878
139.4;-0.120317;-0.00842219;0.0175124;1.75124E-4
139.8;-0.143306;-0.01003142;0.122462;0.00122462
140.2;-0.159548;-0.01116836;0.069987;6.9987E-4
140.6;-0.1558;-0.010906;-0.214875;-0.00214875
141;-0.140433;-0.00983031;-0.572202;-0.00572202
141.4;-0.110197;-0.00771379;-1.08945;-0.0108945
141.8;-0.0600961;-0.004206727;-1.57672;-0.0157672
142.2;-0.0012494;-8.7458E-5;-1.97652;-0.0197652
142.6;0.0784623;0.005492361;-1.99901;-0.0199901
143;0.18716;0.0131012;-1.45927;-0.0145927
143.4;0.318222;0.02227554;-0.532221;-0.00532221
143.8;0.504383;0.03530681;0.767149;0.00767149
144.2;0.710159;0.04971113;2.01904;0.0201904
144.6;0.89632;0.0627424;3.50332;0.0350332
145;1.07036;0.0749252;4.91764;0.0491764
145.4;1.17269;0.0820883;6.4394;0.064394
145.8;1.22391;0.0856737;7.81873;0.0781873
146.2;1.25015;0.0875105;9.00316;0.0900316
146.6;1.2409;0.086863;9.87274;0.0987274
147;1.20655;0.0844585;10.1176;0.101176
147.4;1.12384;0.0786688;10.0302;0.100302
147.8;0.9884;0.069188;9.43295;0.0943295
148.2;0.827603;0.05793221;8.59836;0.0859836
148.6;0.662932;0.04640524;7.45391;0.0745391
149;0.519376;0.03635632;6.22701;0.0622701
149.4;0.398434;0.02789038;4.92514;0.0492514
149.8;0.268246;0.01877722;3.35839;0.0335839
150.2;0.12444;0.0087108;1.73418;0.0173418
150.6;2.4988E-4;1.74916E-5;0.254897;0.00254897
151;-0.0973283;-0.006812981;-0.924531;-0.00924531
151.4;-0.159174;-0.01114218;-2.0265;-0.020265
151.8;-0.202653;-0.01418571;-3.0585;-0.030585
152.2;-0.262749;-0.01839243;-3.99055;-0.0399055
152.6;-0.325344;-0.02277408;-4.66272;-0.0466272
153;-0.366949;-0.02568643;-5.15998;-0.0515998
153.4;-0.379693;-0.02657851;-5.45234;-0.0545234
153.8;-0.355329;-0.02487303;-5.48482;-0.0548482
154.2;-0.319472;-0.02236304;-5.3249;-0.053249
154.6;-0.294234;-0.02059638;-5.09251;-0.0509251
155;-0.277242;-0.01940694;-4.85013;-0.0485013
155.4;-0.264248;-0.01849736;-4.48531;-0.0448531
155.8;-0.24888;-0.0174216;-4.11799;-0.0411799
