# Data provided by J.B. Perrin-Terrin, from [PerrinTerrin2025](https://hal.science/hal-05076071v1/document)
# Cable: length=8.0 m, impedance=75 Ohm, Measurment position=3.0 m
# Time [s],Voltage [V],Current [A],Energy [J]
-9.040607E-8,78.1253,-1.09375,-4.50455E-5
-9.030607E-8,78.1253,-1.09375,-4.50455E-5
-9.020607E-8,78.1253,-1.09375,-4.50455E-5
-9.010607E-8,78.1253,-1.09375,-4.50455E-5
-9.000607E-8,78.1253,0,-4.50455E-5
-8.990607E-8,78.1253,0,-4.50455E-5
-8.980607E-8,78.1253,0,-4.50455E-5
-8.970607E-8,0,-1.09375,-4.50455E-5
-8.960607E-8,0,-1.09375,-4.50455E-5
-8.950607E-8,0,-1.09375,-4.50455E-5
-8.940607E-8,0,-1.09375,-4.50455E-5
-8.930607E-8,0,-1.09375,-4.50455E-5
-8.920607E-8,78.1253,-1.09375,-4.50455E-5
-8.910607E-8,78.1253,-1.09375,-4.50455E-5
-8.900607E-8,78.1253,-1.09375,-4.50455E-5
-8.890607E-8,78.1253,-1.09375,-4.50455E-5
-8.880607E-8,0,-1.09375,-4.50455E-5
-8.870607E-8,0,-1.09375,-4.50455E-5
-8.860607E-8,0,-1.09375,-4.50455E-5
-8.850607E-8,0,-1.09375,-4.50455E-5
-8.840607E-8,0,-1.09375,-4.50455E-5
-8.830607E-8,78.1253,-1.09375,-4.50455E-5
-8.820607E-8,78.1253,-1.09375,-4.50455E-5
-8.810607E-8,78.1253,-1.09375,-4.50455E-5
-8.800607E-8,78.1253,-1.09375,-4.50455E-5
-8.790607E-8,78.1253,-1.09375,-4.50455E-5
-8.780607E-8,0,-1.09375,-4.50455E-5
-8.770607E-8,0,-1.09375,-4.50455E-5
-8.760607E-8,0,-1.09375,-4.50455E-5
-8.750607E-8,0,-1.09375,-4.50455E-5
-8.740607E-8,0,-1.09375,-4.50455E-5
-8.730607E-8,0,-1.09375,-4.50455E-5
-8.720607E-8,0,-1.09375,-4.50455E-5
-8.710607E-8,0,-1.09375,-4.50455E-5
-8.700607E-8,78.1253,-1.09375,-4.50455E-5
-8.690607E-8,78.1253,-1.09375,-4.50455E-5
-8.680607E-8,78.1253,-1.09375,-4.50455E-5
-8.670607E-8,78.1253,-1.09375,-4.50455E-5
-8.660607E-8,78.1253,-1.09375,-4.50455E-5
-8.650607E-8,78.1253,-1.09375,-4.50455E-5
-8.640607E-8,0,-1.09375,-4.50455E-5
-8.630607E-8,0,-1.09375,-4.50455E-5
-8.620607E-8,0,-1.09375,-4.50455E-5
-8.610607E-8,0,-1.09375,-4.50455E-5
-8.600607E-8,0,-1.09375,-4.50455E-5
-8.590607E-8,0,-1.09375,-4.50455E-5
-8.580607E-8,0,-1.09375,-4.50455E-5
-8.570607E-8,78.1253,-1.09375,-4.50455E-5
-8.560607E-8,78.1253,-1.09375,-4.50455E-5
-8.550607E-8,78.1253,-1.09375,-4.50455E-5
-8.540607E-8,78.1253,-1.09375,-4.50455E-5
-8.530607E-8,0,-1.09375,-4.50455E-5
-8.520607E-8,0,-1.09375,-4.50455E-5
-8.510607E-8,0,0,-4.50455E-5
-8.500607E-8,0,0,-4.50455E-5
-8.490607E-8,0,-1.09375,-4.50455E-5
-8.480607E-8,0,-1.09375,-4.50455E-5
-8.470607E-8,0,-1.09375,-4.50455E-5
-8.460607E-8,0,-1.09375,-4.50455E-5
-8.450607E-8,0,-1.09375,-4.50455E-5
-8.440607E-8,0,-1.09375,-4.50455E-5
-8.430607E-8,0,-1.09375,-4.50455E-5
-8.420607E-8,0,-1.09375,-4.50455E-5
-8.410607E-8,0,-1.09375,-4.50455E-5
-8.400607E-8,0,-1.09375,-4.50455E-5
-8.390607E-8,0,-1.09375,-4.50455E-5
-8.380607E-8,0,-1.09375,-4.50455E-5
-8.370607E-8,0,-1.09375,-4.50455E-5
-8.360607E-8,0,-1.09375,-4.50455E-5
-8.350607E-8,0,-1.09375,-4.50455E-5
-8.340607E-8,0,-1.09375,-4.50455E-5
-8.330607E-8,0,-1.09375,-4.50455E-5
-8.320607E-8,0,-1.09375,-4.50455E-5
-8.310607E-8,0,-1.09375,-4.50455E-5
-8.300607E-8,0,-1.09375,-4.50455E-5
